 2011646  0.460938  1.265455  0.180509  0.171134  65.375000 
 2011647  0.471680  -1.425884  0.205048  0.203566  65.375000 
 2011648  0.480469  1.022554  0.213822  0.190064  65.000000 
 2011649  0.490234  -6.409939  0.217007  0.211518  64.875000 
 2011650  0.501953  -4.089923  0.241787  0.215405  64.125000 
 2011651  0.510742  7.923400  0.258614  0.248958  63.875000 
 2011652  0.521484  -3.121965  0.267648  0.270693  63.875000 
 2011653  0.531250  1.838240  0.279928  0.260877  64.375000 
 2011654  0.540039  3.288308  0.304407  0.316466  64.375000 
 2011655  0.550781  -3.005869  0.329728  0.335737  63.750000 
 2011656  0.560547  -3.687905  0.422736  0.414163  63.625000 
 2011657  0.570313  -2.107089  0.472877  0.477804  63.375000 
 2011658  0.580078  -5.552259  0.523057  0.548658  63.250000 
 2011659  0.591797  3.874362  0.771875  0.766106  62.125000 
 2011660  0.600586  9.458905  0.853626  0.850080  61.625000 
 2011661  0.610352  -1.120135  0.954908  0.965865  60.750000 
 2011662  0.622070  3.075581  1.219651  1.230950  60.000000 
 2011663  0.630859  -5.324712  1.344571  1.359595  59.750000 
 2011664  0.640625  -1.056148  1.526763  1.548237  59.625000 
 2011665  0.652344  -2.099224  1.727003  1.731931  59.125000 
 2011666  0.660156  -2.144623  1.795773  1.790365  58.125000 
 2011667  0.671875  -1.978551  1.999038  1.971755  56.875000 
 2011668  0.680664  -1.057487  2.042248  2.037340  56.750000 
 2011669  0.691406  -2.038727  2.248097  2.243590  55.625000 
 2011670  0.700195  -1.841058  2.342248  2.363001  54.500000 
 2011671  0.710938  3.651454  2.782492  2.765264  53.250000 
 2011672  0.720703  6.821166  3.046214  3.044091  51.750000 
 2011673  0.730469  4.655884  3.317588  3.300341  50.500000 
 2011674  0.742188  2.806104  3.676703  3.689183  49.125000 
 2011675  0.750977  5.530105  4.023618  4.049760  47.625000 
 2011680  0.802734  3.705696  6.736198  6.735998  39.250000 
