0.460938  -1.525334  
0.471680  -3.156970  
0.480469  -3.015611  
0.490234  -3.567493  
0.501953  -3.463699  
0.510742  -5.232777  
0.521484  -5.234671  
0.531250  -4.605202  
0.540039  -5.260617  
0.550781  -7.848098  
0.560547  -1.040649  
0.570313  -1.444772  
0.580078  -2.109484  
0.591797  -5.396594  
0.600586  -6.831291  
0.610352  -8.281535  
0.622070  -1.064981  
0.630859  -1.075513  
0.640625  -1.391636  
0.652344  -1.695103  
0.660156  -1.731100  
0.671875  -2.250068  
0.680664  -2.429978  
0.691406  -3.051898  
0.700195  -3.116926  
0.710938  -4.269641  
0.720703  -4.704863  
0.730469  -5.217308  
0.742188  -6.502360  
0.750977  -8.000072  
0.802734  -1.832932  
